element	occurrence frequency
text-translation alignment	1
tag derivation	1
chinese part-of-speech tagging	1
distributed dialogue management	1
computational structure and unsupervised learning	1
improving the ibm alignment models	1
completeness	1
conditional random fields and distributional semantics	1
stable classification	1
typological linguistics	1
automatic humor classification	1
depression detection	1
large-scale discriminative language model reranking	1
empowerment detection	1
answer re-ranking	1
phrase-level combination	1
cross-cultural analysis	1
optimization models	1
verb frames	1
target language models and insertion handling	1
automating nl appointment scheduling	1
consistent annotation	1
human-robot interaction	1
rapid development process	1
combining multilingual word embeddings and transliteration model	1
multi-target machine translation	1
an efficient solution	1
target inference	1
contrastive learning	1
constructivist development	1
lmr tagging	1
meta fine-tuning neural language models	1
multi-step regression learning	1
multilevel heuristics	1
boosting variant recognition	1
contextual characteristics	1
hierarchical search	1
probing neural network comprehension	1
a memory-based word-expert approach	1
knowledge-guided open attribute value extraction	1
predicting reference resolution	1
precise medication extraction	1
the mint.tools collection	1
multilingual co-training	1
collective generation	1
statistical versus symbolic parsing	1
generalized latent semantic analysis	1
the automatic syntactic analysis	1
causal explanation analysis	1
relative rank statistics	1
bilingual sentence alignment	1
implicit ambiguity resolution	1
entity commonsense representation	1
translation unit concerning timing	1
subphonetic modeling	1
adversarially trained language models	1
the automatic processing	1
improving unsupervised word-by-word translation	1
dependency-based syntactic analysis	1
relaxcor participation	1
answer generation	1
the unsupervised learning	1
a global discriminative model	1
unified weight tying	1
writing support	1
architecture and representation	1
low-rank matrix completion	1
meaning unit segmentation	1
minimalist parsing	1
accurate and robust lfg-based generation	1
temporal processing	1
hindi-to-urdu machine translation	1
adverse drug event classification	1
deep multilingual correlation	1
casting implicit role linking	1
neural greedy constituent parsing	1
quantifier scope disambiguation	1
unsupervised distillation	1
a goal oriented model	1
multi-language machine translation	1
geographic reference analysis	1
game-changing event definition and detection	1
top-down induction	1
entity-supported summarization	1
interannotator agreement	1
domain adaptable semantic clustering	1
opportunistic incremental meaning representation construction	1
belief state planning and plan recognition	1
software engineering	1
bag-of-words transfer	1
perceived peer-review helpfulness	1
lexicon-based methods	1
dynamic user level and utility measurement	1
cross lingual adaptation	1
head-first linearization	1
hierarchical text segmentation	1
a cascade method	1
universal neural machine translation	1
morphological segmentation and web crawling	1
complex factoid question answering	1
multi-domain neural network language generation	1
utilizing review analysis	1
a new statistical approach	1
hybrid selection	1
feudal dialogue management	1
graph convolution networks and question-focused dual attention	1
the systematic construction	1
extracting semantic frames	1
an optimization process	1
semantically equivalent adversarial rules	1
graph ranking and clique partitioning approaches	1
confidence-weighted models	1
applying sentence simplification	1
the identification and semantic categorization	1
a machine learning based approach	1
probabilistic text structuring	1
constructing acoustic models	1
cross-lingual argumentative relation identification	1
emotion intensity detection	1
self organisation	1
exploring conceptual combination	1
deep generalized multiple instance learning	1
scope disambiguation	1
linguistic analysis and language processing	1
top of bert features	1
dynamic lexical acquisition	1
annotating topic development	1
multilevel task learning	1
a cascaded machine learning approach	1
discriminative joint modeling	1
answer-supervised question reformulation	1
noun-phrase chunking	1
a composite document representation	1
grounded models	1
compositional mechanisms	1
structural learning algorithms	1
unsupervised morph segmentation and statistical language models	1
improving cross-domain n-gram language modelling	1
robust german noun chunking	1
deep probabilistic logic	1
dialogue act annotation	1
semantic cohesion model	1
lemmatization and linear interpolation	1
clinical abbreviation disambiguation	1
evaluating entity linking	1
pre-processing strategy and lexical acquisition	1
food-related sentiment analysis	1
fast query expansion	1
classifier ensembling	1
creating a universal annotation scheme	1
building a golden collection	1
multilingual search	1
word association	1
an unbiased evaluation method	1
phonbank and data sharing	1
automatism and user interaction	1
policy learning	1
focusing and reference resolution	1
balanced korean word spacing	1
a general computational treatment	1
supporting anaphor resolution	1
beyond document retrieval	1
copycat-review generation	1
lazy non-redundant copying	1
discovery and format	1
content management approach	1
grounding the semantics	1
learning and application	1
encoding standards	1
rare entity prediction	1
negation detection	1
aspect-based summarization	1
neural probabilistic model	1
an unsupervised morphological criterion	1
mt goes farming	1
removing left recursion	1
vector space models and random walks	1
semi-supervised discriminative language modeling	1
a listwise approach	1
improving context modelling	1
distinguishing clinical sentiment	1
neural transition tagging	1
speaker-independent context update rules	1
syntactic relation	1
a semiparametric model	1
multiple aspect summarization	1
models and training	1
multi-lingual translation	1
salience-based content characterisafion	1
biomedical event trigger identification	1
contextual analogy	1
multilingual language identification	1
multilingual dependency analysis	1
word reading disambiguation	1
graph-sequence iterative inference	1
toward asian speech translation systedeveloping speech recognition and machine translation	1
cross-lingual wikification	1
a systematic bayesian treatment	1
a weighted combination	1
entity-level feature extraction and word embeddings approach	1
automatic fine-grained semantic classification	1
concreteness	1
unsupervised keyword extraction	1
a step towards incremental generation	1
pair annotation	1
soft alignment and deep learning	1
from corpus constitution	1
hybrid constituent and dependency parsing	1
mandarin chinese--a corpus based approach	1
augment dependency-to-string translation	1
spanish lexical acquisition	1
multi-head knowledge attention	1
tree-grammar linear typing	1
hybrid language models	1
weakly-supervised bayesian learning	1
a simple domain-independent probabilistic approach	1
applying prediction techniques	1
path features and distributed case frames	1
connecting language and vision	1
effective approaches	1
sublanguage dependent evaluation	1
a statistical relational learning approach	1
smoothing	1
hypothesis selection and resolution	1
ccg supertagging	1
a structure-aware approach	1
a huge feature engineering method	1
a parse-and-paraphrase paradigm	1
deep sentence understanding	1
comparing recurring lexico-syntactic trees (rlts) and ngram techniques	1
semantic taxonomy induction	1
a simplified latent semantic indexing approach	1
hmm parameter learning	1
differential evolution	1
confirmed knowledge acquisition	1
hybrid pos tagging	1
combining quality prediction and system selection	1
unl-ization	1
character-level models	1
tokenization and pos tagging	1
chinese noun phrase coreference resolution	1
neural machine translation and post-editing	1
a minimal recursion semantic analysis	1
a simple scoring scheme	1
xml-based data preparation	1
a machine learning method	1
topic- and author-controlled natural experiments	1
global constraints and reranking	1
an organization	1
unsupervised vocabulary adaptation	1
efficient transfer learning	1
universal reordering	1
online recognition feedback	1
contextual modulation	1
restricted imitation learning	1
a logic-based temporal knowledge representation	1
automatic full diacritization	1
dependency analysis and machine learning	1
mapping principles	1
regional variation	1
deromanization	1
dynamic lexicon acquisition	1
stylometric insights into hyperpartisan news detection	1
automatically acquiring models	1
optimising twitter-based political election prediction	1
domain adaptive inference	1
keyphrase extraction utilizing sparse coding	1
a general technique	1
modeling target-side inflection	1
generalizing hierarchical phrase-based translation	1
cognate production	1
joint segmentation and supertagging	1
message propagation	1
teacher-student learning	1
voting	1
argument extraction	1
accounting	1
self-regulated writing feedback	1
probabilistic parsing action models	1
written translation	1
frugal neural reranking	1
distributed listening	1
a tree-to-sequence model	1
a multi-dimensional bayesian approach	1
datasets and analysis	1
computationally engaging	1
maximum entropy ranking	1
construction and visualization	1
feature selection methods	1
pseudo relevance feedback	1
incremental and parallel generation	1
unsupervised bilingual pos tagging	1
a hierarchical reinforced sequence operation method	1
orthography engineering	1
online active learning	1
bringing controlled language support	1
development and alignment	1
investigating pitch accent recognition	1
main concept resolution	1
construction and alignment	1
multi-lingual dependency parsing	1
measure	1
bilingually motivated domain-adapted word segmentation	1
learning cascaded latent variable models	1
automatic deep structure analysis	1
unsupervised metaphor paraphrasing	1
a cascade model	1
two-phase turkish dependency parsing	1
context vector disambiguation	1
reference resolution and relation detection	1
qualia structure and the compositional interpretation	1
transfer-based language models	1
explicit alignment	1
a graph degeneracy-based approach	1
preclinical experiments	1
real-time news summarization	1
evaluating discourse annotation	1
constituent reordering and syntax models	1
scalable discriminative parsing	1
unsupervised selection	1
high precision pos tagging	1
a data-efficient approach	1
exploring approaches	1
multiword expression processing	1
chinese open relation extraction	1
english-to-japanese translation vs. dictation vs. post-editing	1
exposing shallow heuristics	1
role-based model	1
multivariate linear regression	1
sub-character neural language modelling	1
improving relative-entropy pruning	1
web cooperation	1
user-friendly text prediction	1
low-resource sequence labeling	1
a deep reinforcement learning approach	1
word recognition	1
iterative viterbi a* algorithm	1
hierarchical verb clustering	1
cepstral method	1
joint representation learning	1
linguistically-enriched models	1
better automatic treebank conversion	1
summary level training	1
statistical and linguistic strategies	1
enhanced personalized search	1
vowel sound disambiguation	1
indexing and a referential dependencies within binding theory	1
an ensemble of language models	1
from representation	1
multi-granularity self-attention	1
pay-per-request deployment	1
zero pronoun resolution	1
neural temporality adaptation	1
zero-shot cross-lingual transfer	1
computer-assisted morphological analysis	1
black-box context injection	1
group-based generation	1
a ranking	1
financial narrative summarisation	1
automatic grammar rule extraction and ranking	1
a deep neural network sentence level classification method	1
more diverse visual-textual grounding	1
the mass-count distinction	1
exploring the statistical derivation	1
automatic collocation suggestion	1
metonymy resolution	1
lightweight and fast relation classification	1
exemplar-based word-space model	1
fine-grained geographical relation extraction	1
evaluating conversation	1
satisfaction analysis	1
rule optimization	1
predicting the topical stance and political leaning	1
learning implicit text generation	1
translation corresponding tree representation	1
web service integration	1
deep lexical semantics	1
latent suicide risk detection	1
japanese discourse and the process	1
dropout can learn generalizable reduplication	1
interactive topic models	1
tensorized self-attention	1
a computationally-assisted procedure	1
investigating unsupervised learning	1
a novel disambiguation method	1
multimodal joint attribute prediction and value extraction	1
partial-label learning	1
expectation maximization and pruning	1
linear logic programming	1
selectional preferences. an approach	1
joint word alignment and bilingual named entity recognition	1
large-scale typing	1
speaker likability classification	1
term distillation	1
improving search strategies an experiment	1
feature-based pronunciation modeling	1
pragmatic annotation	1
formal language theory	1
analyzing learner understanding	1
explicit cross-lingual pre-training	1
ultrafine-grained semantic labels improve image captioning and visual question answering	1
learning dialogue models	1
contextual parameter generation	1
production-based cognitive models	1
from descriptive annotation	1
data and strategies	1
enhancing natural language understanding	1
technical communication and translation	1
efficient logical inference	1
an artificial language evaluation	1
an effective hybrid machine learning approach	1
open-domain textual question answering	1
sentiment polarity detection	1
lexical access preference and constraint strategies	1
producing a test collection	1
contradiction-focused qualitative evaluation	1
movie script summarization	1
web-based validation	1
improving low-resource morphological learning	1
elra validation methodology and standard promotion	1
full valency and the position	1
a structured learning approach	1
typed tensor decomposition	1
enjambment detection	1
an event-based semantics	1
combining deep linguistics analysis and surface pattern learning	1
a metadata schema	1
learning translation templates	1
multilingual model	1
chinese relation classification	1
combining prediction	1
sentential paraphrasing	1
statistical methodologies	1
graphical models and active learning	1
combining statistical models	1
multimodal and multi-view models	1
sequence-based structured prediction	1
multiple kernel gaussian process regression model	1
a syntactically informed classification approach	1
speech interaction	1
automated activity recognition	1
statistical zero pronoun resolution	1
phrasal analysis	1
locally training the log-linear model	1
the combination of machine learning systems	1
stacked generalization	1
an analytical model	1
clustering-based article identification	1
weakly supervised training	1
controlled active procedures	1
generalized transition-based dependency parsing	1
recognizing confinement	1
lexically constrained neural machine translation	1
neural and fst-based approaches	1
linguistic features and example weighing	1
aspect-level cross-lingual sentiment classification	1
low-cost named entity classification	1
juggling	1
a formal approach	1
phonological parsing	1
phrase based statistical machine translation	1
toward better chinese word segmentation	1
a comparison and improvement	1
modality annotation	1
natural language response generation	1
identifying web search query reformulation	1
a graph-theoretic model	1
low-resource text classification	1
contrastive estimation	1
3d visualization and animation	1
from grammar-independent construction enumeration	1
multi-focal attention	1
incremental knowledge acquisition	1
semantic query expansion	1
structured term recognition	1
associative model	1
subversive toxicity detection	1
pattern-based machine translation	1
the rats collection	1
deep exhaustive model	1
flexible domain adaptation	1
a 3d visualization	1
nlp service apis and models	1
text patterns and compression models	1
morphological rules	1
improved large margin dependency parsing	1
the evaluation of referring expression generation algorithms	1
a two stage method	1
framenet-based semantic parsing	1
structured clinical abstracts and the semantic classification	1
online polylingual topic models	1
event-aspect model	1
causality analysis	1
enhanced aspect level sentiment classification	1
fine-grained german sentiment analysis	1
data cleaning	1
text stitch model	1
pointer-augmented attention	1
cross-discourse development	1
incorporating genetag-style annotation	1
pivot-based transfer learning	1
positive diversity tuning	1
reversible resolution	1
unsupervised semantic discriminative attribute identification	1
dynamic anticipation and completion	1
alignment characteristics	1
human-centric dialog training	1
layered speech-act annotation	1
pyramid annotation	1
an n-gram comparison method	1
learning visually-grounded semantics	1
pso based feature selection	1
controlled crowdsourcing	1
capturing semantics	1
sentence level temporality detection	1
linguistic knowledge acquisition	1
query-based summarization	1
improving neural topic models	1
semantic-based multilingual document clustering	1
inference-driven metric learning	1
semi-supervised induction	1
episodic memory activation and reconsolidation	1
part-of-speech tagging and analysis	1
knowledge graph embedding into topic modeling	1
a theoretical analysis	1
lexicon-free conversational speech recognition	1
zero-shot question generation	1
adaptive weighting	1
corpus and web statistics	1
improving human needs categorization	1
multilingual and multitarget hate speech detection	1
self-regulation	1
combining bayesian and support vector machines learning	1
decision-list word sense disambiguation	1
detecting sentiment	1
bootstrapping translation detection and sentence extraction	1
double layered learning	1
structured nearest neighbor learning	1
statistical translation	1
improving document-level neural machine translation	1
timeline summarization	1
a joint-sequence model	1
joint textual and social modeling	1
temporal event clustering	1
automatic spoiler tagging	1
concept-level hierarchical clustering	1
the flux-based interpretation	1
boosting automatic lexical acquisition	1
parallel intersection and serial composition	1
lexical discrimination	1
a phase-based approach	1
a genetic programming approach	1
inference strategies	1
globally coherent text generation	1
efficient bleu oracle computation	1
improving sequence segmentation learning	1
improved lexical acquisition	1
subsentential sentiment	1
sentence generation and document classification	1
investigating diatopic variation	1
numerical weighting and thresholding	1
asking the right question	1
learning dialogue management models	1
designing an algorithm	1
diachronic variation	1
if-then commonsense reasoning	1
painless relation extraction	1
deriving de/het gender classification	1
denoising multi-source weak supervision	1
grammatical transformations and probabilistic parsing	1
joint unsupervised coreference resolution	1
real-time understanding	1
an interactive model	1
arabic word segmentation	1
a collaboration	1
collection and annotation	1
improve neural entity recognition	1
argumentation strategies	1
automatic translation memory fuzzy match post-editing	1
developing an evaluation methodology	1
model order selection and discriminative label identification	1
contextual phrase-level polarity analysis	1
manual analysis	1
graph-based unsupervised learning	1
creating a gold standard	1
a grapheme-based approach	1
augmenting	1
a blacklist method	1
cross-lingual and supervised models	1
effective adaptation	1
combining deep learning and topic modeling	1
orthonormal explicit topic analysis	1
comparing frames	1
guiding vector space specialisation	1
multi-representation model construction	1
learning compositional semantics	1
ensembling factored neural machine translation models	1
cross-lingual phonetic representation learning	1
event detection and semantic storytelling	1
novel fuzzy agreement measure	1
crosslingual induction	1
a determinantal point process	1
any-target stance detection	1
unsupervised sentence summarization	1
a latent-variable sequence labeling approach	1
dependency tree transformation	1
recognizing complex negation	1
relation-aware collaborative learning	1
advancing language modeling	1
fine-grained entity set refinement	1
a chinese verb-result compound and affected argument	1
?????????????????(method	1
constraint-based computational semantics	1
sparse self-attention mechanism	1
parallel iterative edit models	1
word sense induction \&disambiguation	1
a language-independent and fully unsupervised approach	1
logical-linguistic model	1
user intent modeling	1
online japanese unknown morpheme detection	1
competition learning approach	1
simple and effective noisy channel modeling	1
easy-first pos tagging and dependency parsing	1
unsupervised stylistic segmentation	1
alternating computation and inspection	1
cross linguistic name matching	1
topic modeling based classification	1
consistent training	1
integrating information visualisation and machine learning	1
data intensive text processing	1
automatic slide presentation	1
capturing policy argument reasoning	1
unknown word paradigms	1
modelling the interpretation	1
lexicon optimization	1
multilevel semantic annotation	1
unified lexicon and unified morphosyntactic specifications	1
new dependency based specification	1
cross-lingual intent classification	1
very-large scale parsing and normalization	1
joint alignment and artificial data generation	1
text audio fusion	1
forward and backward reasoning	1
evaluating casing methods	1
entity-augmented distributed semantics	1
automatic curation and visualization	1
mdl-based dcg induction	1
cross-media user profiling	1
instance-driven attachment	1
acknowledgement entity recognition	1
a chomsky-sch\"utzenberger representation	1
alignment-hmm-based extraction	1
developing learner corpus annotation	1
bert based multi-perspective models	1
phonological replacement rules	1
resumption and extraction	1
linguistic ressources and experiments	1
a dependency-constrained hierarchical model	1
computer aided correction and extension	1
fast tweet retrieval	1
signal processing	1
statistical thesaurus construction	1
tree based analysis	1
course concept expansion	1
multidimensional assessment	1
a voting classification approach	1
coupling retrieval and meta-learning	1
pivot approach	1
a multilingual treebank collection	1
analytical dialog management	1
simple coreference resolution	1
matching a tone-based and tune-based approach	1
minimally supervised approaches	1
corpus creation	1
english neural machine translation	1
super-sense tagging	1
linguistically rich models	1
learning micro-planning rules	1
exploring the data-driven prediction	1
generating long and informative reviews	1
statistical sentiment analysis	1
sentiment and sarcasm classification	1
improving fine-grained entity typing	1
efficient low-rank multimodal fusion	1
unsupervised discriminative induction	1
dialogue-oriented review summary generation	1
data-intensive text processing	1
designing a task-based evaluation methodology	1
supervised keyphrase extraction	1
budgeted policy learning	1
multimedia presentation	1
deep unknown intent detection	1
knowledge-based topic modeling	1
the revision	1
corpus-based syntactic error detection	1
improved temporal relation classification	1
fine-grained named entity recognition	1
the null hypothesis approach	1
machine learning and features selection	1
enabling resource sharing	1
soft representation learning	1
embedding-based graph propagation	1
prosodic annotation	1
cross-domain generalization	1
japanese-specific heuristics	1
improving multi-turn dialogue modelling	1
dependently-typed montague semantics	1
parse analysis and similarity clustering	1
broadly improving user classification	1
combining knowledge-based methods and supervised learning	1
different absorption	1
the automatic assessment	1
neural word decomposition models	1
step-wise refinement classification approach	1
deep recurrent models	1
participatory design	1
dynamic sampling strategies	1
a formal description	1
understanding data augmentation	1
discriminative parse reranking	1
a search-based dynamic reranking model	1
neural automatic post-editing	1
extrinsic corpus evaluation	1
dynamic sentence sampling	1
efficient benchmarking	1
generative modeling	1
social meaning	1
unaccusative/unergative distinction	1
a statistical decision making method	1
large-scale transfer learning	1
an attribute enhanced domain adaptive model	1
emotional perception	1
transition-based semantic graph parsing	1
a semi-automatic method	1
a random walk--based model	1
question detection	1
child language development	1
parsing techniques	1
iterative constrained clustering	1
exploring ways beyond the simple supervised learning approach	1
cognitively plausible simulations of semantic learning	1
second-order edge inference	1
the automated grading	1
an incremental joint model	1
a parsing method	1
improved portability and parsing	1
source reordering	1
approaching neural grammatical error correction	1
tone restoration	1
unsupervised separation	1
mt system combination	1
metrical analysis	1
methodologies	1
testing computational models	1
a large-scale multi-document summarization dataset and abstractive hierarchical model	1
abstract meaning representation parsing and generation	1
the presentational relative clause construction	1
fast lexically constrained decoding	1
a two-stage bootstrapping algorithm	1
self-training and polarity lexicon expansion	1
transformation-based error-driven learning and natural language processing	1
a lexically-driven algorithm	1
beyond generic summarization	1
structural metadata annotation	1
adversarial over-sensitivity and over-stability strategies	1
collaborative human-robot interaction	1
deliberation	1
supervised attention mechanisms	1
drug extraction	1
abstract text summarization	1
a weakly supervised model	1
a new error annotation	1
linguistically-based pronunciation rules	1
slavic named entity recognition and linking. participation	1
an automatic query augmentation model	1
handwritten text recognition	1
supertag compaction	1
a vector-based algorithm	1
commonsense justification	1
language independent authorship attribution	1
evaluating dialogue act tagging	1
principal component regression	1
hate-speech and offensive language detection	1
extended partial parsing	1
an incremental iterated response model	1
multiple treebanks integration	1
grounded semantic parsing	1
voice search	1
online handling	1
from credit assignment	1
a manual error analysis	1
deceptive answer prediction	1
linguistic understanding	1
delexicalized transfer parsing	1
translating treebank annotation	1
tigrinya automatic speech recognition	1
automatic transcript parsing	1
a retrieve-and-rewrite initialization method	1
phrase linguistic classification and generalization	1
a two-stage incremental annotation approach	1
adapting international standard	1
adversarial example generation	1
complaint analysis and classification	1
mixing syntactic category and grammatical function	1
generating a gold standard	1
financial news annotation	1
measuring term informativeness	1
a multi-level hierarchical dirichlet process model	1
manual summarization	1
partially modelling word reordering	1
comparing mt approaches	1
generative constituent parsing and discriminative dependency reranking	1
noun generation	1
two-stage machine learning method	1
an open domain approach	1
unsupervised preference disentanglement	1
emotion cause analysis	1
dcu participation	1
vector semantics	1
syllable-based phonetic transcription	1
analyzing political bias and unfairness	1
sentence subjectivity	1
katakana variant recognition	1
matrix factorisation	1
heterogeneous supervision	1
frequency analysis interpolation	1
the frequency and sentiment	1
elicitation	1
a utility-driven approach	1
label transfer	1
the turkish discourse bank and an evaluation	1
scope and negation	1
mixture pruning and roughening	1
a language independent algorithm	1
nonparametric learning	1
automatic focus annotation	1
bitext alignment	1
a dynamic programming approach	1
word-synchronous parsing	1
multimodal visualization	1
data-driven parametric text normalization	1
inductive detection	1
participatory research	1
voice prediction	1
integrated shallow and deep parsing	1
handling and mining linguistic variation	1
query analysis	1
long document classification	1
a weighting scheme	1
korean transliteration model	1
sequence-to-sequence data augmentation	1
corpus-based interpretation	1
roles and utilization	1
improve language variety identification	1
semi-supervised and unsupervised learning	1
stylistic transfer	1
seeing is correcting	1
grammar prototyping and testing	1
rank encoding	1
low-order n-gram models	1
hierarchical mt training	1
entity span detection	1
a lexicon based method	1
combining manual and automatic prosodic annotation	1
arabic named entity recognition process	1
cross-lingual explicit semantic analysis	1
semi-continuous hidden markov models	1
a unified topic-style model	1
implicit tensor factorization	1
uncertainty learning	1
shared representations and structured prediction	1
quantifying semantics	1
end-to-end speech translation	1
multi-modal menus and traffic interaction. timing	1
latent belief states towards semi-supervised learning	1
elastic weight consolidation	1
preparation	1
a back-off model	1
the rectified anchor word algorithm	1
natural question generation	1
the intelius nickname collection	1
real time web text classification and analysis	1
conversation analysis	1
dive into deep learning	1
robust practical parsing	1
exploring machine learning approaches	1
question-answering techniques	1
improving knowledge graph embedding	1
grapheme-to-phoneme conversion and morphological inflection	1
lexical database design	1
quantized contour modeling	1
tackling biomedical text summarization	1
statistical phrase-based post-editing	1
online temporal language model adaptation	1
english-japanese example-based machine translation	1
predicting persuasiveness	1
improved generalization	1
fast translation rule matching	1
a co-attention neural network model	1
a time series analysis	1
a self-refinement strategy	1
improved representation learning	1
a transduction approach	1
adversarial transfer learning	1
analogical modelling	1
pair n-gram models	1
an error-driven word-character hybrid model	1
bilingual low-resource neural machine translation	1
a pattern-based approach	1
unsupervised parts-of-speech induction	1
language models and reranking	1
applying discourse analysis and data mining methods	1
consistency checking	1
named entity recognition and translation	1
social commonsense reasoning	1
a contrastive learning approach	1
identifying appropriate support	1
semantic parsing and translation	1
real-time natural language generation	1
generalizing procrustes analysis	1
zero-shot user intent detection	1
improve the grapheme-to-phoneme (g2p) conversion	1
distributional learning	1
natural language hypertext summarization	1
modeling extractive sentence intersection	1
sentence-level emotion classification	1
incremental coordination	1
an iteratively-trained segmentation-free phrase translation model	1
a multiple-classifier decision schema and enhanced emotion tagging	1
intellectual property rights management	1
unsupervised stance detection	1
a distributed morphology approach	1
across-speaker articulatory normalization	1
hybrid parallel sentence mining	1
exploring self training	1
speech intelligibility and the production	1
korean word-sense disambiguation	1
modern methods plus traditional thinking	1
a shared task involving multi-label classification	1
refining the automatic identification	1
linguistic alignment	1
dialogue logistic inference	1
incorporating interlocutor-aware context into response generation	1
syntactic well-formedness diagnosis and error-based coaching	1
unsupervised pcfg induction	1
joint ensemble model	1
multiple task learning	1
extra-propositional meaning	1
recursive top-down production	1
improving claim stance classification	1
interactive training	1
a comparison and discussion	1
user-state labeling procedures	1
extracting pre-ordering rules	1
improved fully unsupervised parsing	1
comparative annotation	1
routing-by-agreement	1
a tag analysis	1
diverse and informative dialogue generation	1
character-blocks based models and system combination	1
combining impression feature representation	1
commonsense knowledge mining	1
english-to-korean transliteration	1
ontology alignment	1
academic writing and evaluating	1
long-time average spectrum analysis	1
input specification	1
question-answer driven semantic role labeling	1
paramax systems corporation	1
grammatical reduction	1
a structural weakness	1
extended lexical-semantic classification	1
discourse-wide extraction	1
human-robot multi-modal interaction	1
a robust combination strategy	1
attribute-based and value-based clustering	1
the teams corpus and entrainment	1
rule selection	1
sublanguage theory	1
investigating the working	1
large scale multilingual broadcast data collection	1
neural image captioning	1
text-mining	1
increase robustness	1
neural document summarization	1
event-driven learning	1
aspect ranking	1
sense-linking	1
entity-centric joint modeling	1
variational pretraining	1
an improved redundancy elimination algorithm	1
the intersection	1
multimodal interaction	1
a pragmatics-based approach	1
problem solving	1
a statistical modeling	1
a constructive version	1
incremental speech understanding	1
neural self-training	1
knowledge discovery and hypothesis generation	1
implicit polarity and implicit aspect recognition	1
subword re-segmentation	1
beyond log-linear models	1
interpreting recurrent and attention-based neural models	1
statistical machine translation improves question retrieval	1
hierarchical character-word models	1
extracting mutual case relation	1
answer retrieval	1
detecting entailment	1
phonologically informed edit distance algorithms	1
multi-view co-training	1
phonological constraints and morphological preprocessing	1
the multimedia articulation	1
exemplars vs prototypes	1
semi-supervised speech act recognition	1
attention focusing	1
sut submission	1
a preview	1
beyond multimedia integration	1
conceptual language models	1
automatic word alignment and semantic role labeling	1
test collection selection and gold standard generation	1
computational methods	1
using sarcasm detection	1
concept propagation	1
the ordering	1
web-scale language-independent cataloging	1
pronoun language model and grammatical heuristics	1
quantifying the evaluation	1
multilingual stance detection	1
semi-supervised learning and feature weighted learning	1
weakly supervised supertagging	1
adapting an entity centric model	1
personalized recommendation	1
improve one-to-many multilingual translation	1
a three-valued interpretation	1
factorial hidden markov models	1
augmenting wordnet-based inference	1
statistical language processing	1
hierarchical relation extraction	1
commonsense evidence generation and injection	1
semi-supervised question retrieval	1
ensemble triangulation	1
extensively matching	1
controlled realization	1
combining multi-engine machine translation and online learning	1
universal word segmentation	1
unsupervised event clustering and aggregation	1
robust co-occurrence quantification	1
chinese relation extraction	1
max-violation perceptron and forced decoding	1
youling	1
improving the template generation	1
automatic rule acquisition	1
increased correlation	1
complex domain formation	1
systematic error analysis	1
response completion	1
using pre-trained language models	1
web services and data mining	1
filter and match approach	1
rumour detection and classification	1
decoder integration and expected bleu training	1
multiple system combination	1
distantly supervised named entity recognition	1
robust and efficient chinese word dependency analysis	1
readme generation	1
phrase structure conversion	1
active learning and research use case specific customisation	1
an integrated training method	1
understanding script-mixing	1
temporal text classification	1
myanmar word segmentation	1
vowel enhancement	1
error classification	1
c-wep?rich annotated collection	1
symbolic representation	1
voluntary crowdsourcing	1
semantically constrained multilayer annotation	1
source dependency representation	1
cross-lingual flames detection	1
joint sentence and token labeling	1
multi-document discourse parsing	1
deceptive review spam detection	1
improving document ranking	1
optimal shift-reduce constituent parsing	1
improved pattern learning	1
a derivational rephrasing experiment	1
unsupervised natural question answering	1
a web mining approach	1
literature review	1
a neighborhood based approach	1
domain-specific new words detection	1
finding function	1
action ranking and type matching	1
speeding up the implementation process	1
heuristic backtracking	1
predicate-argument structure-based preordering	1
dependency relation probability	1
syntactic parsing and compound recognition	1
user-driven ontology learning	1
statistical deep parsing	1
???????????????????????(a human-machine dialogue intent classification method	1
a metalearning approach	1
a pregroup representation	1
a large scale humor collection	1
low-resource g2p and p2g conversion	1
multilingual acoustic modeling	1
framing and agenda-setting	1
distributional lexical entailment	1
svd and clustering	1
robust navigation	1
reviving a psychometric measure	1
cnn and rules	1
kernel learning	1
improving latent alignment	1
unsupervised prepositional and free paraphrasing	1
robust data oriented parsing	1
evaluating context selection strategies	1
corpus and comparative evaluation	1
cross-lingual disaster-related multi-label tweet classification	1
development and preliminary evaluation	1
data-driven measurement	1
an efficient shift-reduce decoding algorithm	1
human-machine problem solving	1
bsc participation	1
interpolation	1
reinforce-selected sentence rewriting	1
automatically expansion	1
three knowledge-free methods	1
multi-document relationship fusion	1
treebank annotation schemes and parser evaluation	1
adversarial propagation and zero-shot cross-lingual transfer	1
context-dependent maximum entropy models	1
empirical risk minimization	1
baseline evaluation	1
deterministic non-autoregressive neural sequence modeling	1
fast large-scale approximate graph construction	1
a negative case analysis	1
achieving knowledge transfer	1
robust domain adaptation	1
automatic error correction	1
boosting-based system combination	1
typed feature structure unification	1
perturbed masking	1
classification procedures	1
bilingual lexicon acquisition	1
a probabilistic genre-independent model	1
automated compounding	1
contrasting the automatic identification	1
lexical coherence graph modeling	1
improving dialogue state tracking	1
head selection	1
journalist-in-the-loop	1
grammatical inference	1
a cognitively motivated approach	1
expected f-measure training	1
beyond terminology identification	1
a salient-clue mechanism	1
dependency-based bilingual language models	1
the chinese chunk bracketing	1
syntax-based pronoun resolution methods	1
location attention	1
correlation-based intrinsic evaluation	1
rough set based hybrid feature selection	1
enriching social communication	1
